date;campaign_id;campaign_name;channel_name;impressions;clicks;spend;conversions;revenue
25.07.2026;1;campaign_1;Meta Ads;17754;7691;742753;154;8865117
26.07.2026;1;campaign_1;Meta Ads;44489;4672;791293;886;1237278
27.07.2026;1;campaign_1;Meta Ads;35929;1158;613138;432;4805845
28.07.2026;1;campaign_1;Meta Ads;98804;3765;685385;302;2467547
29.07.2026;1;campaign_1;Meta Ads;50789;2598;148242;345;1642533
30.07.2026;1;campaign_1;Meta Ads;63952;1496;283868;995;5666083
31.07.2026;1;campaign_1;Meta Ads;15342;6989;222748;307;8799402
1.07.2026;2;campaign_2;Meta Ads;76563;5160;530646;806;7003127
2.07.2026;2;campaign_2;Meta Ads;31169;4368;817457;883;6969358
3.07.2026;2;campaign_2;Meta Ads;69567;7214;643158;921;5327850
4.07.2026;2;campaign_2;Meta Ads;88999;2751;651912;768;1234284
5.07.2026;2;campaign_2;Meta Ads;36299;7579;176966;822;8249505
6.07.2026;2;campaign_2;Meta Ads;81593;4739;185611;453;9064189
7.07.2026;2;campaign_2;Meta Ads;28036;3016;293964;360;7626307
8.07.2026;2;campaign_2;Meta Ads;12297;4098;925499;232;2341142
9.07.2026;2;campaign_2;Meta Ads;75948;6429;545561;305;2444518
10.07.2026;2;campaign_2;Meta Ads;74523;2061;589786;341;1003433
11.07.2026;2;campaign_2;Meta Ads;22672;9770;119210;402;1470329
12.07.2026;2;campaign_2;Meta Ads;24012;5450;172784;973;3109875
13.07.2026;2;campaign_2;Meta Ads;16576;7986;748604;666;571611
14.07.2026;2;campaign_2;Meta Ads;24812;3104;655206;897;2732886
15.07.2026;2;campaign_2;Meta Ads;53903;6756;618826;805;393131
16.07.2026;2;campaign_2;Meta Ads;82682;3779;429648;125;2644364
17.07.2026;2;campaign_2;Meta Ads;36453;9214;101189;306;281670
18.07.2026;2;campaign_2;Meta Ads;57879;4893;194189;519;5483986
19.07.2026;2;campaign_2;Meta Ads;40710;6094;116584;909;3854364
20.07.2026;2;campaign_2;Meta Ads;73326;8955;156776;827;275561
21.07.2026;2;campaign_2;Meta Ads;99784;2579;386272;120;4860235
22.07.2026;2;campaign_2;Meta Ads;42878;4600;286122;417;8880494
23.07.2026;2;campaign_2;Meta Ads;71482;7723;504787;615;749089
24.07.2026;2;campaign_2;Meta Ads;66806;2494;911044;594;8224075
25.07.2026;2;campaign_2;Meta Ads;14058;7413;186767;447;5493720
26.07.2026;2;campaign_2;Meta Ads;35357;4034;824782;441;1557811
27.07.2026;2;campaign_2;Meta Ads;96597;8864;586076;816;4317043
28.07.2026;2;campaign_2;Meta Ads;45167;8349;317837;768;2224679
29.07.2026;2;campaign_2;Meta Ads;69459;5472;621750;357;4691544
30.07.2026;2;campaign_2;Meta Ads;75785;4975;723765;509;3261471
31.07.2026;2;campaign_2;Meta Ads;67552;6599;940676;930;8672693
1.07.2026;3;campaign_3;Meta Ads;14724;1513;190848;288;8992656
2.07.2026;3;campaign_3;Meta Ads;23923;4857;245584;707;7742997
3.07.2026;3;campaign_3;Meta Ads;99449;8457;272491;807;2527916
4.07.2026;3;campaign_3;Meta Ads;25061;8019;181071;800;4067893
5.07.2026;3;campaign_3;Meta Ads;89934;3253;142252;578;7378944
6.07.2026;3;campaign_3;Meta Ads;28231;6525;890270;377;743805
7.07.2026;3;campaign_3;Meta Ads;20844;7939;762523;808;1185111
8.07.2026;3;campaign_3;Meta Ads;31775;8754;801236;789;9778039
9.07.2026;3;campaign_3;Meta Ads;62956;1026;180341;852;4886857
10.07.2026;3;campaign_3;Meta Ads;28361;7587;655069;674;4052170
11.07.2026;3;campaign_3;Meta Ads;74133;8466;377798;928;8967671
12.07.2026;3;campaign_3;Meta Ads;44377;9156;135220;621;1165552
13.07.2026;3;campaign_3;Meta Ads;54571;2715;905197;600;8291871
14.07.2026;3;campaign_3;Meta Ads;54797;7096;719717;177;7614271
15.07.2026;3;campaign_3;Meta Ads;33118;5101;632839;905;3033576
16.07.2026;3;campaign_3;Meta Ads;65429;3259;888318;470;3879772
17.07.2026;3;campaign_3;Meta Ads;37672;1765;285624;802;2990029
18.07.2026;3;campaign_3;Meta Ads;71971;1029;680291;227;8812984
19.07.2026;3;campaign_3;Meta Ads;76016;9002;428686;904;2987577
20.07.2026;3;campaign_3;Meta Ads;39198;2729;381265;446;3231039
21.07.2026;3;campaign_3;Meta Ads;93242;8801;872316;116;5628533
22.07.2026;3;campaign_3;Meta Ads;82389;7900;823418;673;5810618
23.07.2026;3;campaign_3;Meta Ads;58249;6777;135886;640;4437993
24.07.2026;3;campaign_3;Meta Ads;59820;5963;306131;559;3807836
25.07.2026;3;campaign_3;Meta Ads;77695;3184;108203;804;5200719
26.07.2026;3;campaign_3;Meta Ads;57169;1649;791484;654;9301160
27.07.2026;3;campaign_3;Meta Ads;49447;1683;355447;952;4026758
28.07.2026;3;campaign_3;Meta Ads;14666;6484;863574;869;2122204
29.07.2026;3;campaign_3;Meta Ads;85739;5145;790790;935;7507662
30.07.2026;3;campaign_3;Meta Ads;71532;4791;718361;614;4258223
31.07.2026;3;campaign_3;Meta Ads;95681;2569;364905;467;1610832
1.07.2026;1;campaign_1;Tiktok Ads;85502;2948;890493;348;5852565
2.07.2026;1;campaign_1;Tiktok Ads;12200;3500;810210;990;1120508
3.07.2026;1;campaign_1;Tiktok Ads;93820;4983;251827;562;6898373
4.07.2026;1;campaign_1;Tiktok Ads;92394;6670;929520;695;6079058
5.07.2026;1;campaign_1;Tiktok Ads;24784;7976;874128;380;5207847
6.07.2026;1;campaign_1;Tiktok Ads;18788;3510;445483;934;646255
7.07.2026;1;campaign_1;Tiktok Ads;86877;2448;594641;881;1868550
8.07.2026;1;campaign_1;Tiktok Ads;92052;7066;938823;680;2295941
9.07.2026;1;campaign_1;Tiktok Ads;32902;2510;390604;361;3309996
10.07.2026;1;campaign_1;Tiktok Ads;88287;6691;836602;162;8820274
11.07.2026;1;campaign_1;Tiktok Ads;94876;5802;163664;704;5552296
12.07.2026;1;campaign_1;Tiktok Ads;88006;6282;241422;346;541698
13.07.2026;1;campaign_1;Tiktok Ads;39952;8622;824848;578;3988924
14.07.2026;1;campaign_1;Tiktok Ads;19322;3702;785365;426;6974646
15.07.2026;1;campaign_1;Tiktok Ads;63950;3601;169061;269;9795785
16.07.2026;1;campaign_1;Tiktok Ads;97253;6782;293328;123;8877684
17.07.2026;1;campaign_1;Tiktok Ads;53788;4406;542372;953;6162116
18.07.2026;1;campaign_1;Tiktok Ads;38822;8809;106011;311;9294025
19.07.2026;1;campaign_1;Tiktok Ads;39165;3540;952298;295;3876829
20.07.2026;1;campaign_1;Tiktok Ads;29194;5840;859889;474;3923280
21.07.2026;1;campaign_1;Tiktok Ads;37239;3073;875626;959;1637106
22.07.2026;1;campaign_1;Tiktok Ads;55486;2231;525968;839;7717744
23.07.2026;1;campaign_1;Tiktok Ads;57258;4040;968609;295;9616183
24.07.2026;1;campaign_1;Tiktok Ads;40678;7374;692498;903;5344302
25.07.2026;1;campaign_1;Tiktok Ads;67395;4378;428719;989;6744889
26.07.2026;1;campaign_1;Tiktok Ads;48704;8800;579196;805;2963763
27.07.2026;1;campaign_1;Tiktok Ads;81566;2302;861659;132;1155276
28.07.2026;1;campaign_1;Tiktok Ads;71916;1374;901125;471;3199011
29.07.2026;1;campaign_1;Tiktok Ads;94798;4123;607660;960;7743018
30.07.2026;1;campaign_1;Tiktok Ads;89843;7087;193717;395;9739505
31.07.2026;1;campaign_1;Tiktok Ads;31693;2808;397326;183;2642575
1.07.2026;2;campaign_2;Tiktok Ads;95405;5942;574278;872;476788
2.07.2026;2;campaign_2;Tiktok Ads;80730;5180;374499;124;6722156
3.07.2026;2;campaign_2;Tiktok Ads;28663;1648;659496;776;8066231
4.07.2026;2;campaign_2;Tiktok Ads;16836;7406;548835;751;8234995
5.07.2026;2;campaign_2;Tiktok Ads;65488;1217;323121;227;2934612
6.07.2026;2;campaign_2;Tiktok Ads;93959;6122;665737;411;7993063
7.07.2026;2;campaign_2;Tiktok Ads;91078;2051;738958;105;1585299
8.07.2026;2;campaign_2;Tiktok Ads;59493;7644;877040;409;3360602
9.07.2026;2;campaign_2;Tiktok Ads;91933;5178;518913;328;9323009
10.07.2026;2;campaign_2;Tiktok Ads;82602;6699;554779;381;2085197
11.07.2026;2;campaign_2;Tiktok Ads;14759;2168;619341;502;5147723
12.07.2026;2;campaign_2;Tiktok Ads;60092;7379;272000;239;1826404
13.07.2026;2;campaign_2;Tiktok Ads;35736;6825;972291;897;2027654
14.07.2026;2;campaign_2;Tiktok Ads;99613;4331;112508;307;6607427
15.07.2026;2;campaign_2;Tiktok Ads;74105;5777;997701;261;1960961
16.07.2026;2;campaign_2;Tiktok Ads;59061;8907;842226;279;8169534
17.07.2026;2;campaign_2;Tiktok Ads;12392;1302;671280;602;8511205
18.07.2026;2;campaign_2;Tiktok Ads;97289;7200;883579;106;5152039
19.07.2026;2;campaign_2;Tiktok Ads;88160;9368;925524;369;2521021
20.07.2026;2;campaign_2;Tiktok Ads;97063;7858;417779;719;1670979
21.07.2026;2;campaign_2;Tiktok Ads;50355;5635;383453;406;4370800
22.07.2026;2;campaign_2;Tiktok Ads;86866;3244;682391;601;247064
23.07.2026;2;campaign_2;Tiktok Ads;88230;3811;536453;934;408129
24.07.2026;2;campaign_2;Tiktok Ads;54763;3018;919113;335;5366443
25.07.2026;2;campaign_2;Tiktok Ads;58472;6331;355963;495;6994033
26.07.2026;2;campaign_2;Tiktok Ads;37106;7524;707809;263;5124837
27.07.2026;2;campaign_2;Tiktok Ads;87500;3445;999731;946;484972
28.07.2026;2;campaign_2;Tiktok Ads;93894;1204;544756;851;1429257
29.07.2026;2;campaign_2;Tiktok Ads;56060;2725;826071;613;560922
30.07.2026;2;campaign_2;Tiktok Ads;94136;5396;149013;659;3714746
31.07.2026;2;campaign_2;Tiktok Ads;70581;6233;811149;330;7204440
